Column,farm.x,sampling.x,test,rep_1,rep_2,total,sample,f,sampling.y,sd_meantempi,sd_meanwindspdi,sd_minhumidity,sd_maxhumidity,sd_humidity,sd_precipi,mean_meantempi,mean_meanwindspdi,mean_minhumidity,mean_maxhumidity,mean_humidity,mean_precipi,mean_precipi_yesno,farmnumber,farm.y,date,time,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,mean_hygiene,stall,cleanliness,ventilation,standing_water,month,sampling,A2_SURVEY_DATE,A3_ARRIVAL.DEPARTURE_TIME,A4_SURVEY_TECHNICIAN,A5_FARM_PERSONNEL_INTERVIEWED,A6_NUMBER_MILKING_COWS,A7_.AV_ANNUAL_PRODUCTION_COW,A8_OFTEN_EACH_COW_MILKED_PER_DAY,B2_AV_BODY_CONDITION,B3_TAILS_DOCKED,tails_docked_edited,B4_UDDERS_CLIPPED.FLAMED,udders_flamed_edited,B5_FEED_TYPE_LACTATING_COWS,C1_GLOVES_DURING_MILKING,C2_AUTO.TEAT_SCRUBBER,C3_PRE.DIP_TYPE,pre_dip_chemical,pre_dip_application,C4_POST.DIP_TYPE,post_dip_chemical,post_dip_application,C5_MASTITIC_COWS_MILKED_LAST.SEPARATELY,mastitic_milked_separately,C6_DO.YOU_STRIP_COWS,D1_HOUSING_TYPE,D3_BEDDING,D5_.FREESTALL.HOUSING._HOW_OFTEN_ALLEYS_SCRAPED.DAY,D6_WATER_SOURCES_USED_AND_WHERE,D7_OFTEN_DAY.WEEK_DRY_LOTS_RAKED,D8_OFTEN_DAY.WEEK_DRY_LOTS_DUG_OUT,D10_VISIBLE_DUST_IN_THE_LAST,D11_RAINED_IN_THE_LAST,E1_PARLOR_DECK_SPRAYED.CLEANED_BETWEEN_MILKING_GROUPS,E2_HOLDING_AREA_CLEANED_DURING_MILKING,holding_area_cleaned_during_milking_edited,E3_COWS_EXPOSED_TO_WATER_PRIOR_TO_MILKING,E4_UDDERS_SPRAYED_PRIOR_TO_MILKING,E5_WATER_USED_TO_COOL_COWS,E6_WATER_USED_TO_CLEAN_COWS,F1_BULK_TANK_CAPACITY,G1_TYPE_OF_TOWEL,type_of_towel_edited,G2_HOW_OFTEN_FILTER_SOCK_CHANGED,X
27,8,1,SP TSC,16,15,15.5,1-Aug,8,1,7.528479262,3.563705936,2.828427125,20.63249864,NA,0,53.66,5.2,17,54.2,26,0,FALSE,8,Farm 08,3/16/2016,7:20am,4,3,2,4,2,3,3,4,2,2,2.9,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,7:20 am/9:00 am,Bailee,Richard,3900,"27,010; 74 lbs/day",intermediate,Normal,I; 1/2 switch,intermediate,I; Once year,intermediate,corn silage; alfalfa; sorghum or wheat silage; DDG; corn gluten; hominy; corn; canola; soy bean mill (bypass); blood mill; mineral pack; alfalfa hay,Y,N,Propalinglycom quadarin amonia; Spray application,Propalinglycom quadarin amonia,spray,None,None,none,N,N,Y,Dry Lot (open lot),Other: Dried manure,N/A,Well water,6,4.5,0-24h,25-48h,Y; Manually,Y,Y,N,N,N,N,"100,000 lbs; 2 bulk tanks",Laundered; Yes,Laundered,Every 300 cows,NA
28,7,1,SP TSC,3,6,4.5,1-Jul,7,1,1.399210304,5.649673954,3.431663706,3.971941061,3.336040567,0.008944272,49.99,8.525,31.25,80.75,54.9375,0.002,TRUE,7,Farm 07,3/19/2016,9:00am,2,1,3,2,1,4,3,4,3,2,2.5,Free,Good,Good,not_applicable,3,1,3/19/2016,9:00/no answer,Bailee,Ronnie West,380,57 lbs/day,2 times,Normal,N,no,N,no,soy bean mill; cotton seed hull; corn; corn silage; wheat silage; brewers grain; mineral concentrate,I,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,N; get rid of them,N,No answer,Freestall,Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,2750 lbs; 1 bulk tank,Paper; No,Paper,Every 6 hours,NA
29,9,1,SP TSC,3,1,2,1-Sep,9,1,7.528479262,3.563705936,2.828427125,20.63249864,NA,0,53.66,5.2,17,54.2,26,0,FALSE,9,Farm 09,3/16/2016,9:15am,3,2,1,2,3,3,2,2,4,2,2.4,Free,Good,Good,not_applicable,3,1,3/16/2016,9:15 am/10:06 am,Bailee,Arjan Van Dasselaar,1280,"22,000 lbs",2 times,Normal,N,no,N,no,alfalfa; canola; distillers corn; soy hull pallets; corn silage,Y,N,Prep & wash lactic acid; Ultimate P.D. concentration; Cynergy hepatonic acid; Dip application,Prep & wash lactic acid\Ultimate P.D. concentration\Cynergy hepatonic acid,dip,Aztec Gold lactic acid; Sodium Chlorite; Dip application,Aztec Gold lactic acid\Sodium Chlorite,dip,Y,Y,N,Freestall; Dry lot (exercise yard),Sand,2 times/day or more often,Well water,3,1,0-24h,>72h,Y; Manually,N,N,N,N,N,N,"100,000 lbs; 2 bulk trucks",Laundered; no answer,Laundered,Every 3 hours; Halfway through milking,NA
30,10,1,SP TSC,6,6,6,1-Oct,10,1,2.516611478,3.862210075,4.654746681,5.802298395,NA,0,49.5,12.25,36.5,94.5,NA,0,FALSE,10,Farm 10,3/18/2016,10:00am,2,2,1,3,2,2,3,3,1,2,2.1,non-Free,not_applicable,not_applicable,No,3,1,3/18/2016,10:00 am/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,Y,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Remain Gold Bronopol; Dip application,Remain Gold Bronopol,dip,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
31,11,1,SP TSC,7,6,6.5,1-Nov,11,1,2.516611478,3.862210075,4.654746681,5.802298395,NA,0,49.5,12.25,36.5,94.5,NA,0,FALSE,11,Farm 11,3/18/2016,11:45am,4,2,2,4,2,3,2,1,2,2,2.4,non-Free,not_applicable,not_applicable,No,3,1,3/18/2016,11:45/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,N,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Iodine; Other: Foam application,Iodine,foam,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
32,12,1,SP TSC,8,8,8,1-Dec,12,1,2.29676883,5.712280373,3.362859428,4.106128848,2.875627022,0,48.35294118,7.647058824,29.94117647,82.88235294,56.46153846,0,FALSE,12,Farm 12,3/19/2016,6:15pm,1,1,2,2,2,1,1,2,2,1,1.5,Free,Good,Good,not_applicable,3,1,3/19/2016,6:15/no answer,Bailee,Misael Tiscareno,3600,73 lbs/day,2 times,Normal,I,intermediate,Y; Flamed,yes,corn silage; corn; alfalfa; cotton seed; protein mix; wheat silage,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Freestall (some open lots),Sand (fresh and recycled); Dried; Never discarded,2 times/day or more often; flushed 6 times/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually and automatically,Y,Y,N,N,N,N,"18,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every 800 cows, 2.5 hours",NA
33,14,1,SP TSC,23,25,24,14-1,14,1,2.207540553,5.535766061,3.622731429,4.175872184,2.672612419,0,48.58333333,7.466666667,30.77777778,82.44444444,56.71428571,0,FALSE,14,Farm 14,3/19/2016,8:00pm,2,1,3,3,1,1,2,3,3,3,2.2,Free,Good,Good,not_applicable,3,1,3/19/2016,8:00/no answer,Bailee,Pete Schouten,720,76-80 lbs/day,3 times,Normal,I,intermediate,N,no,corn; beet pulp; canola; cottonseed; corn silage; alfalfa; coastal; green chop,Y,N,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Y,Y,No answer,Freestall (95%),Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Every shift, every 6 hours",NA
34,15,1,SP TSC,24,24,24,15-1,15,1,2.588178252,4.250490168,3.430257522,7.574078602,4.949747468,0,48.36666667,8.566666667,15.83333333,55.16666667,35.5,0,FALSE,15,Farm 15,3/16/2016,1:15pm,4,4,3,4,3,4,3,2,2,3,3.2,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,1:15 pm/1:48 pm,Bailee,Jason Veldi,2500,70-72 lbs/day,2 times,Normal,N,no,N,no,corn silage; alfalfa; corn gluten; gluten corn; basic mineral; sorghum silage,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Last,Y,Y,Dry Lot,N/A,N/A,Well water,3.5,3,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"112,000 lbs; 2 bulk tanks",Laundered; No,Laundered,"After every pen, 2 filters 350 cows, 1 hr 20 mins",NA
35,16,1,SP TSC,8,8,8,16-1,16,1,3.84551687,3.335865705,3.082207001,6.14817046,NA,0,51.76,8.34,21,70.4,50,0,FALSE,16,Farm 16,3/17/2016,8:45am,2,2,2,2,3,4,2,3,4,2,2.6,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,8:45 am/no answer,Bailee,Ron Welper,5924,69 lbs/day,2 times,Normal,Y,yes,Y; Flamed,yes,corn silage; canola mill; wheat silage; earlage; corn gluten,Y,N,Express Chlorine dioxide; Lactic acid; Spray application,Express Chlorine dioxide\Lactic acid,spray,Express Lactic Acid; Dip application,Express Lactic Acid,dip,Y; Separately,Y,No answer,Dry Lot,N/A,N/A,Well water,7,2,0-24h,A week ago,N,Y,Y,N,N,N,N,"147,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"""text for answer"" ",NA
36,17,1,SP TSC,9,19,14,17-1,17,1,0,1.154700538,2.309401077,0.577350269,NA,0,52,11.66666667,9.666666667,42.33333333,NA,0,FALSE,17,Farm 17,3/16/2016,4:30pm,3,2,4,1,1,4,2,4,3,3,2.7,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,4:30 pm/no answer,Bailee,Matthew Beckerink,1700,85 lbs/day,3 times,Normal,N,no,N,no,corn silage; sorghum silage; triticale silage; sugar beets; corn; DDG; canola; cotton seed; corn gluten,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Dry Lot,N/A,N/A,Well water,6,6,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"Every group, every 1 hour",NA
37,21,1,SP TSC,24,13,18.5,21-1,21,1,2.068286615,3.90510045,5.566053573,9.382354258,4.323298404,0.010327956,55.57333333,6.713333333,17.46666667,54.2,37.09090909,0.002666667,TRUE,21,Farm 21,3/15/2016,4:40pm,3,2,2,1,4,3,2,3,2,4,2.6,Free,Good,Good,not_applicable,3,1,3/15/2016,4:40 pm/no answer,Bailee,Mick Schouten,4000,"22,000 lbs",intermediate,Normal,Y,yes,N,no,TMR corn silage; wheat silage; alfalfa; cotton seed; corn; soy bean mill; corn; gluten,Y,N,Chlorine/water; Dip application,Chlorine/water,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall (80%); Dry Lot (20%),Sand; From dried basins; No answer,2 times/day or more often,Ogalala aquifer wells,7,1,0-24h,No answer,Y; Automatically,Y,Y,N,N,N,N,"200,000 lbs; 4 bulk tanks",Laundered (not dried); Yes,Laundered,1.5-2 hours,NA
38,22,1,SP TSC,72,NA,72,22-1,22,1,0.5,3.753664876,3.685557398,11.84271928,NA,0,51.75,9.85,11.25,48.25,35,0,FALSE,22,Farm 22,3/16/2016,3:00pm,3,4,3,4,4,2,2,3,4,3,3.2,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,3:00 pm/no answer,Bailee,Koen Ally,1560,74 lbs/day,2 times,No answer,I; majority,intermediate,I; Flamed,intermediate,corn silage; wheatlage; alfalfa; corn; DDG; canola; cottonseed; molasses w/ mineral package; whey,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water; aquifer,1,3,0-24h,"""look it up""",I; As neeed,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"""text for answer"" ",NA
39,23,1,SP TSC,15,16,15.5,23-1,23,1,1.732050808,0,3.464101615,0.577350269,NA,0,49,8,15,75.33333333,NA,0,FALSE,23,Farm 23,3/17/2016,10:20am,2,2,3,3,4,3,1,4,3,4,2.9,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,10:20 am/ no answer,Bailee,Joe Torres,3400,70 lbs/day,intermediate,Normal,Y,yes,Y; Flamed,yes,corn silage; canola; corn gluten; DDG minerals; corn; cotton seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y,Y,N,Dry Lot (open),N/A,N/A,Well water,3.5,8,0-24h,N/A; last October,Y; Manually,Y,Y,Y,Y,N,Y; No answer; No answer; No answer,"24,000 gallons; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 2 hours",NA
40,25,1,SP TSC,11,10,10.5,25-1,25,1,2.915353446,2.758590479,2.976095237,4.496029995,2.774887385,0,51.625,4.8875,13,72.25,37.8,0,FALSE,25,Farm 25,3/17/2016,1:40pm,4,4,3,4,4,4,4,4,4,4,3.9,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,1:40 pm/no answer,Bailee,Mondo Vazquez/Jeremy,3400,73-75 lbs/day,2 times,Normal,N,no,Y; Flamed,yes,corn gluten; corn silage; DDG; triticale; soy hulls; minerals,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y; sprinklers,Y,I,N,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"150,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 1 hr 40 min",NA
41,26,1,SP TSC,6,4,5,26-1,26,1,0.5,3.753664876,3.685557398,11.84271928,NA,0,51.75,9.85,11.25,48.25,35,0,FALSE,26,Farm 26,3/16/2016,2:30pm,2,1,2,3,2,2,3,2,3,3,2.3,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,2:30 pm/ 2:50,Bailee,Carl Bromlow,5000,"22,000 lbs",intermediate,Normal,I; 50/50,intermediate,Y; Flamed,yes,corn silage; triticale; sorghum silage; corn; sweet bran; beet pulp; canola,Y,Y,Express 3; Lactic Acid; LDBSA; Dip application,Express 3\Lactic Acid\LDBSA,dip,Express 3; Lactic Acid; Chore Mate; Dip Application,Express 3\ Lactic Acid\ Chore Mate,dip,Y,Y,Y,Dry Lot,N/A,N/A,Well water,7,3,0-24h,2 weeks ago,Y; Manually,Y,Y,N,N,N,N,"165,000 lbs; 3 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
42,27,1,SP TSC,9,15,12,27-1,27,1,1.5,2.4,3.774917218,0.577350269,NA,0,48.75,6.8,16.25,75.5,47,0,FALSE,27,Farm 27,3/17/2016,12:10pm,2,3,1,2,4,2,2,3,3,1,2.3,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,12:10 pm/ no answer,Bailee,Georgianna Carroll,2349,71.5 lbs/day,3 times,Normal,I,intermediate,Y; Flamed,yes,"corn; corn gluten; canola, cotton seed; DDG; alfalfa; corn silage; wheat silage",Y,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,"108,000 lbs; 2 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
43,28,1,SP TSC,8,10,9,28-1,28,1,4.045738499,2.989648809,3.577708764,6.496152708,NA,0,51.56,7.74,20.4,71.2,50,0,FALSE,28,Farm 28,3/17/2016,3:00pm,3,3,4,4,4,4,4,3,2,4,3.5,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,3:00/no answer,Bailee,Zachary Vanderham,4200,73 lbs,2 times,Normal,N,no,Y; Flamed,yes,alfalfa silage; corn silage; wheat silage; corn; cotton seed; canola; DDG; soy bean mill; soy hulls; wheat straw; energy; minerals,Y,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,N/A,0-24h,No answer,Y; Manually,Y,Y,N,Y,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"21,000 gallons; 3 bulk tanks",Laundered; No,Laundered,Every 2 hours,NA
44,29,1,SP TSC,5,7,6,29-1,29,1,4.045738499,2.989648809,3.577708764,6.496152708,NA,0,51.56,7.74,20.4,71.2,50,0,FALSE,29,Farm 29,3/17/2016,3:00pm,2,2,2,2,2,4,3,4,2,2,2.5,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,3:00/no answer,Bailee,Zachary Vanderham,1800,73 lbs,2 times,Normal,N,no,Y; Flamed,yes,alfalfa; corn silage; wheat silage; corn; cotton seed; canola; DDG; soy bean mill; soy hulls; wheat straw; energy minerals,Y,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,N/A,0-24h,No answer,Y; Manually,Y,Y,N,Y,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"21,000 gallons; 3 bulk tanks",Laundered; No,Laundered,Every 2 hours,NA
45,1,1,HHR,0,2,1,1-Jan,1,1,1.546459165,4.80058888,8.014692391,11.69212908,13.01900555,0.09652796,51.17222222,7.372222222,26,80.66666667,55.57142857,0.023333333,TRUE,1,Farm 01,3/19/2016,1:20pm,1,1,1,1,1,1,1,1,1,1,1,non-Free,not_applicable,not_applicable,not_applicable,3,1,3/19/2016,1:20/no answer,Bailee,Scott Optiz,96,66 lbs/day,2 times,Normal,N,no,N,no,burmuda grass silage; canola; distiller screens; beet pulp; hominy; wet brewers grains; mineral mix - blood mill,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,N,N,No answer,Other: pasture,N/A,N/A,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
46,2,1,HHR,0,1,0.5,1-Feb,2,1,1.271599106,4.930372342,4.131758533,7.611082146,2.217355783,0.14495689,51.1625,10.85,27.75,81.25,60.25,0.05125,TRUE,2,Farm 02,3/19/2016,4:00pm,1,1,2,2,1,2,1,1,3,1,1.5,Free,Good,Good,not_applicable,3,1,3/19/2016,4:00/no answer,Bailee,Auke Plantiga,800,77 lbs/day,2 times,Normal,N,no,N,no,corn silage; rye silage; alfalfa; corn; soy bean mill; corn gluten; hominy; cotten seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
47,4,1,HHR,0,0,0,1-Apr,4,1,1.232570797,4.764357519,3.839738239,7.891085525,4.247875286,0.112734087,52.93846154,5.892307692,26.92307692,89.46153846,60.6,0.036153846,TRUE,4,Farm 04,3/19/2016,3:00pm,1,1,2,1,2,3,3,3,2,1,1.9,Free,Good,Good,not_applicable,3,1,3/19/2016,3:00/no answer,Bailee,Nico DeBoer,1550,no answer,2 times,Normal,I; Clipswitch,intermediate,Y; Flamed,yes,alfalfa; corn silage; corn; DDG; flaxseed; soy bean mill,Y,N,Iodine; Other: Foam application,Iodine,foam,2-Bromo 2-Nitropropane; Other: Foam application,2-Bromo 2-Nitropropane,foam,Y; Last,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"20,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every group, every 2-3 hours",NA
48,7,1,HHR,1,0,0.5,1-Jul,7,1,1.399210304,5.649673954,3.431663706,3.971941061,3.336040567,0.008944272,49.99,8.525,31.25,80.75,54.9375,0.002,TRUE,7,Farm 07,3/19/2016,9:00am,2,1,3,2,1,4,3,4,3,2,2.5,Free,Good,Good,not_applicable,3,1,3/19/2016,9:00/no answer,Bailee,Ronnie West,380,57 lbs/day,2 times,Normal,N,no,N,no,soy bean mill; cotton seed hull; corn; corn silage; wheat silage; brewers grain; mineral concentrate,I,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,N; get rid of them,N,No answer,Freestall,Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,2750 lbs; 1 bulk tank,Paper; No,Paper,Every 6 hours,NA
49,8,1,HHR,1,1,1,1-Aug,8,1,7.528479262,3.563705936,2.828427125,20.63249864,NA,0,53.66,5.2,17,54.2,26,0,FALSE,8,Farm 08,3/16/2016,7:20am,4,3,2,4,2,3,3,4,2,2,2.9,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,7:20 am/9:00 am,Bailee,Richard,3900,"27,010; 74 lbs/day",intermediate,Normal,I; 1/2 switch,intermediate,I; Once year,intermediate,corn silage; alfalfa; sorghum or wheat silage; DDG; corn gluten; hominy; corn; canola; soy bean mill (bypass); blood mill; mineral pack; alfalfa hay,Y,N,Propalinglycom quadarin amonia; Spray application,Propalinglycom quadarin amonia,spray,None,None,none,N,N,Y,Dry Lot (open lot),Other: Dried manure,N/A,Well water,6,4.5,0-24h,25-48h,Y; Manually,Y,Y,N,N,N,N,"100,000 lbs; 2 bulk tanks",Laundered; Yes,Laundered,Every 300 cows,NA
50,12,1,HHR,0,1,0.5,1-Dec,12,1,2.29676883,5.712280373,3.362859428,4.106128848,2.875627022,0,48.35294118,7.647058824,29.94117647,82.88235294,56.46153846,0,FALSE,12,Farm 12,3/19/2016,6:15pm,1,1,2,2,2,1,1,2,2,1,1.5,Free,Good,Good,not_applicable,3,1,3/19/2016,6:15/no answer,Bailee,Misael Tiscareno,3600,73 lbs/day,2 times,Normal,I,intermediate,Y; Flamed,yes,corn silage; corn; alfalfa; cotton seed; protein mix; wheat silage,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Freestall (some open lots),Sand (fresh and recycled); Dried; Never discarded,2 times/day or more often; flushed 6 times/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually and automatically,Y,Y,N,N,N,N,"18,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every 800 cows, 2.5 hours",NA
51,14,1,HHR,4,6,5,14-1,14,1,2.207540553,5.535766061,3.622731429,4.175872184,2.672612419,0,48.58333333,7.466666667,30.77777778,82.44444444,56.71428571,0,FALSE,14,Farm 14,3/19/2016,8:00pm,2,1,3,3,1,1,2,3,3,3,2.2,Free,Good,Good,not_applicable,3,1,3/19/2016,8:00/no answer,Bailee,Pete Schouten,720,76-80 lbs/day,3 times,Normal,I,intermediate,N,no,corn; beet pulp; canola; cottonseed; corn silage; alfalfa; coastal; green chop,Y,N,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Y,Y,No answer,Freestall (95%),Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Every shift, every 6 hours",NA
52,15,1,HHR,0,2,1,15-1,15,1,2.588178252,4.250490168,3.430257522,7.574078602,4.949747468,0,48.36666667,8.566666667,15.83333333,55.16666667,35.5,0,FALSE,15,Farm 15,3/16/2016,1:15pm,4,4,3,4,3,4,3,2,2,3,3.2,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,1:15 pm/1:48 pm,Bailee,Jason Veldi,2500,70-72 lbs/day,2 times,Normal,N,no,N,no,corn silage; alfalfa; corn gluten; gluten corn; basic mineral; sorghum silage,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Last,Y,Y,Dry Lot,N/A,N/A,Well water,3.5,3,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"112,000 lbs; 2 bulk tanks",Laundered; No,Laundered,"After every pen, 2 filters 350 cows, 1 hr 20 mins",NA
53,16,1,HHR,0,1,0.5,16-1,16,1,3.84551687,3.335865705,3.082207001,6.14817046,NA,0,51.76,8.34,21,70.4,50,0,FALSE,16,Farm 16,3/17/2016,8:45am,2,2,2,2,3,4,2,3,4,2,2.6,non-Free,not_applicable,not_applicable,No,3,1,3/17/2016,8:45 am/no answer,Bailee,Ron Welper,5924,69 lbs/day,2 times,Normal,Y,yes,Y; Flamed,yes,corn silage; canola mill; wheat silage; earlage; corn gluten,Y,N,Express Chlorine dioxide; Lactic acid; Spray application,Express Chlorine dioxide\Lactic acid,spray,Express Lactic Acid; Dip application,Express Lactic Acid,dip,Y; Separately,Y,No answer,Dry Lot,N/A,N/A,Well water,7,2,0-24h,A week ago,N,Y,Y,N,N,N,N,"147,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"""text for answer"" ",NA
54,17,1,HHR,0,1,0.5,17-1,17,1,0,1.154700538,2.309401077,0.577350269,NA,0,52,11.66666667,9.666666667,42.33333333,NA,0,FALSE,17,Farm 17,3/16/2016,4:30pm,3,2,4,1,1,4,2,4,3,3,2.7,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,4:30 pm/no answer,Bailee,Matthew Beckerink,1700,85 lbs/day,3 times,Normal,N,no,N,no,corn silage; sorghum silage; triticale silage; sugar beets; corn; DDG; canola; cotton seed; corn gluten,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Dry Lot,N/A,N/A,Well water,6,6,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"Every group, every 1 hour",NA
55,21,1,HHR,3,1,2,21-1,21,1,2.068286615,3.90510045,5.566053573,9.382354258,4.323298404,0.010327956,55.57333333,6.713333333,17.46666667,54.2,37.09090909,0.002666667,TRUE,21,Farm 21,3/15/2016,4:40pm,3,2,2,1,4,3,2,3,2,4,2.6,Free,Good,Good,not_applicable,3,1,3/15/2016,4:40 pm/no answer,Bailee,Mick Schouten,4000,"22,000 lbs",intermediate,Normal,Y,yes,N,no,TMR corn silage; wheat silage; alfalfa; cotton seed; corn; soy bean mill; corn; gluten,Y,N,Chlorine/water; Dip application,Chlorine/water,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall (80%); Dry Lot (20%),Sand; From dried basins; No answer,2 times/day or more often,Ogalala aquifer wells,7,1,0-24h,No answer,Y; Automatically,Y,Y,N,N,N,N,"200,000 lbs; 4 bulk tanks",Laundered (not dried); Yes,Laundered,1.5-2 hours,NA
